t0,interval,date,x,y,z,MEGNO (avg),vx,vy,vz,MEGNO (non-avg)
2451544.50000000000000000000,181440000.00000000000000000000, 2005 10  1    0H  0M  0.000000S,1695.46564025307338852144,-25717.29416363840209669434,-6261.66949337382175144739,1.88674138084457609921,-3.80690348277509071906,-0.06947038145057704561,-0.73877806524524447518,1.97758910833081724689
2451544.50000000000000000000,184032000.00000000000000000000, 2005 10 31    0H  0M  0.000000S,-25210.13991197989525971934,-5640.71165033448414760642,-6040.42980330917725950712,1.88932776298760374267,-1.00924768436447576114,3.66186959673202139243,0.77915925042543709989,1.97629054240500368067
2451544.50000000000000000000,186624000.00000000000000000000, 2005 11 30    0H  0M  0.000000S,-11876.02200916988113021944,23379.33952187452814541757,4239.70864366435216652462,1.89912738814157022738,3.40398365087308318877,1.55068539253170634140,1.00286598850817920692,1.97514022864624916309
2451544.50000000000000000000,189216000.00000000000000000000, 2005 12 30    0H  0M  0.000000S,20470.01922908506821841002,15183.40575244888896122575,7514.25255979917710646987,1.91774776584017581094,2.39253468758170662056,-3.01229124649401835967,-0.43644707705670326980,1.97424399014270934849
2451544.50000000000000000000,191808000.00000000000000000000, 2006  1 29    0H  0M  0.000000S,20248.35556091754915541969,-17079.81538797155008069240,-1659.12936162662299466319,1.94198642905156204641,-2.44301549476797674743,-2.77792253677408451651,-1.15621132139257110083,1.97365494933202856309
2451544.50000000000000000000,194400000.00000000000000000000, 2006  2 28    0H  0M  0.000000S,-12325.00819785427665919997,-22044.64058833906528889202,-8091.46860833238952182001,1.96354219137230145975,-3.39218957460890147004,1.88057892233836332352,0.04433267596066625682,1.97336583928108932895
2451544.50000000000000000000,196992000.00000000000000000000, 2006  3 30    0H  0M  0.000000S,-25239.36372242767902207561,8133.14462892651681613643,-1063.88884595024092050153,1.97630639848949862802,1.08455862727786866984,3.53117098026926390375,1.17473823289835888062,1.97331287129063359664
2451544.50000000000000000000,199584000.00000000000000000000, 2006  4 29    0H  0M  0.000000S,2176.91497640005127323093,25316.77349767282794346102,7757.54456422612020105589,1.97951875188995507493,3.83095647574325637308,-0.43603301459072874025,0.35465698929845979048,1.97338937165750438751
2451544.50000000000000000000,202176000.00000000000000000000, 2006  5 29    0H  0M  0.000000S,26201.30943779191147768870,2290.64500923524155950872,3737.64601151783881505253,1.97477054772491555923,0.47095050460271070669,-3.69641460414538514101,-1.05342834036843502332,1.97346586451355610059
2451544.50000000000000000000,204768000.00000000000000000000, 2006  6 28    0H  0M  0.000000S,8489.81889023603980604094,-24292.41634023794176755473,-6472.53358795150779769756,1.96201204965085240772,-3.65294149773218546073,-1.08178091851028845838,-0.71808453343272871106,1.97341284602803734849
2451544.50000000000000000000,207360000.00000000000000000000, 2006  7 28    0H  0M  0.000000S,-22798.55379147862549871206,-12178.01132981945556821302,-5947.11865012551425024867,1.94001843492843484285,-1.95028582477664169659,3.25295648996313380152,0.81128660975796873522,1.97312284674868454459
2451544.50000000000000000000,209952000.00000000000000000000, 2006  8 27    0H  0M  0.000000S,-17674.97161752293686731718,19298.29302160805673338473,4465.46294395409859134816,1.91105978071535198559,2.87114455790429845550,2.40430412330705323143,0.99563581451359339791,1.97252885194063209973
2451544.50000000000000000000,212544000.00000000000000000000, 2006  9 26    0H  0M  0.000000S,15693.62746619136851222720,20087.82231475585649604909,7497.42891754780248447787,1.88250530426039430765,3.11185375917495044007,-2.25483490304032585527,-0.46985946805666323201,1.97161643144405052119
2451544.50000000000000000000,215136000.00000000000000000000, 2006 10 26    0H  0M  0.000000S,24115.45560946955447434448,-10964.02816024121420923620,-1877.48070648286829964491,1.86176609897582157060,-1.60714388594734680638,-3.32861286675983825134,-1.15833151331639849779,1.97042694542790530754
2451544.50000000000000000000,217728000.00000000000000000000, 2006 11 25    0H  0M  0.000000S,-5904.27551967492763651535,-24547.39373096163762966171,-8139.70965954998155211797,1.85063915526949052115,-3.77461883903493644610,0.88617265594625138636,0.07270977287081720197,1.96905006977989893713
2451544.50000000000000000000,220320000.00000000000000000000, 2006 12 25    0H  0M  0.000000S,-26495.59523517128400271758,942.86427480027293768217,-890.84972475183144524635,1.84732673583829543063,0.08927631027706950384,3.69123639138612746891,1.18537780110181389936,1.96760645266575417978
2451544.50000000000000000000,222912000.00000000000000000000, 2007  1 24    0H  0M  0.000000S,-4727.95903526061374577694,24926.08393859110583434813,7849.47919923814151843544,1.85229546640963893545,3.80895186235919869233,0.62168090402147380136,0.33129386135729776974,1.96622412798647672183
2451544.50000000000000000000,225504000.00000000000000000000, 2007  2 23    0H  0M  0.000000S,24627.98551550578122260049,9306.40444592736275808420,3590.44491997861541676684,1.86758135139724323892,1.45014108384741891022,-3.42631020509430683774,-1.07050996429846390079,1.96501388408549937381
2451544.50000000000000000000,228096000.00000000000000000000, 2007  3 25    0H  0M  0.000000S,14741.25865712732229440007,-21066.51119131026644026861,-6613.24617662932450912194,1.89083489411004657121,-3.22427370587983919137,-2.03189230755178495968,-0.69951917297580124000,1.96404874624823033713
2451544.50000000000000000000,230688000.00000000000000000000, 2007  4 24    0H  0M  0.000000S,-18661.42043202932836720720,-17917.39647691123536787927,-5843.88793769988751591882,1.91467536023733764239,-2.75522809086365372266,2.59949659271790256554,0.83376988558280307196,1.96335166825638185450
2451544.50000000000000000000,233280000.00000000000000000000, 2007  5 24    0H  0M  0.000000S,-22194.58357869329483946785,13779.87872330110258189961,4634.23087285586098005297,1.93168006662231706017,2.12159957578358771002,3.09277757078551829295,0.98297060933763757973,1.96289351222870989133
2451544.50000000000000000000,235872000.00000000000000000000, 2007  6 23    0H  0M  0.000000S,9769.26245220417331438512,23561.49030425522505538538,7423.94761576496875932207,1.93924080421374855909,3.60143579439070249393,-1.33321812391864558123,-0.49769766043086632878,1.96260072806165219994
2451544.50000000000000000000,238464000.00000000000000000000, 2007  7 23    0H  0M  0.000000S,26172.66601873546096612699,-4080.14890430029299750458,-2079.74959615115449196310,1.93873261634431259814,-0.66042399999821199685,-3.63687114686906998173,-1.15181713151436482256,1.96237011546630268910
2451544.50000000000000000000,241056000.00000000000000000000, 2007  8 22    0H  0M  0.000000S,885.50453900440879806411,-25246.80825906655809376389,-8134.22487582087342161685,1.93032776550011675454,-3.87128231459747462750,-0.16451175450533250810,0.10152415800928626943,1.96208737312200964809
2451544.50000000000000000000,243648000.00000000000000000000, 2007  9 21    0H  0M  0.000000S,-25761.38181997484207386151,-6259.90506002724123391090,-699.18159915140404336853,1.91190235547464659760,-0.90237164671935943261,3.58044801929703515597,1.18845258169072187648,1.96164656889414223961
2451544.50000000000000000000,246240000.00000000000000000000, 2007 10 21    0H  0M  0.000000S,-11212.67378039768300368451,22724.99998492791200987995,7890.79553692285207944224,1.88399483294162628511,3.50427267476508053079,1.62822612085693041450,0.30297332987512659574,1.96096813811075443290
2451544.50000000000000000000,248832000.00000000000000000000, 2007 11 20    0H  0M  0.000000S,21232.68934510387043701485,15607.39940998897873214446,3398.63480021470240899362,1.85315599641763295580,2.31405788570311532482,-2.90975554672170177994,-1.08094373136214905173,1.96001289048303006801
2451544.50000000000000000000,251424000.00000000000000000000, 2007 12 20    0H  0M  0.000000S,19864.96876741316373227164,-16310.70329124792078800965,-6708.54719590447075461270,1.82741189109729540441,-2.55554978338358651513,-2.83023041714702561222,-0.67470017845933449863,1.95878927165612171102
