t0,interval,date_start,date_end,semi-major axis,eccentricity,inclination,longitude of ascending node (Ω) (rads),longitude of ascending node (Ω) (degs),argument of pericenter (ω) (rads),argument of pericenter (ω) (degs),mean anomaly (rads),mean anomaly (degs),M_dot,Omega_dot,omega_dot
2451544.50000000000000000000,1604448000.00000000000000000000,2000-01-01 00:00:00.000,2050-11-04 00:00:00.000,26566.00732199217236484401,0.01050194587041109948,0.40921379227427950864,-2.02846695440814883682,-116.22259536934292611932,0.42850767613914131360,24.55168133173152966719,0.10849591152945850525,6.21635782506274203740,0.00014580736308564547,-0.00000001292017397766,0.00000003998978120262
2451544.50000000000000000000,1607040000.00000000000000000000,2000-01-01 00:00:00.000,2050-12-04 00:00:00.000,26565.39346172381920041516,0.01043302846194340064,0.40867595841421949787,-2.06231892941337235925,-118.16217066532456669847,0.49407377379675798679,28.30834200665556110721,1.07324112675217397950,61.49218696276459894534,0.00014581241698391844,-0.00000001292414145099,0.00000003995208445420
2451544.50000000000000000000,1609632000.00000000000000000000,2000-01-01 00:00:00.000,2051-01-03 00:00:00.000,26566.00871292694500880316,0.01034179682952970046,0.40804167181840722556,-2.09666172198005718030,-120.12986773608885471276,0.55916475789852071454,32.03778068003970247446,2.03790425108723827208,116.76331263906756419146,0.00014580735163444118,-0.00000001292664444487,0.00000003990094056123
2451544.50000000000000000000,1612224000.00000000000000000000,2000-01-01 00:00:00.000,2051-02-02 00:00:00.000,26565.99638915574178099632,0.01024280965354030029,0.40755612002259050675,-2.13157861289308803165,-122.13045821912422184141,0.61615854544449655261,35.30328416488939780038,3.01036813445114592724,172.48138888472180951794,0.00014580745309289713,-0.00000001292932355374,0.00000003986440105007
2451544.50000000000000000000,1614816000.00000000000000000000,2000-01-01 00:00:00.000,2051-03-04 00:00:00.000,26565.45112937215890269727,0.01021864369578250054,0.40736769482488821570,-2.16672604742611163431,-124.14425787857884131427,0.67289245437367217750,38.55389770181073316735,-2.30090988239510130242,-131.83242530118187119115,0.00014581194219499529,-0.00000001293124476192,0.00000003985299013763
2451544.50000000000000000000,1617408000.00000000000000000000,2000-01-01 00:00:00.000,2051-04-03 00:00:00.000,26566.12047087439350434579,0.01022195393852269943,0.40735233845578378009,-2.20137090500902532497,-126.12926199991160558511,0.72994098985232336307,41.82253801213978050555,-1.33071322430906757717,-76.24425149515519706256,0.00014580643156521868,-0.00000001293024894456,0.00000003984841452778
2451544.50000000000000000000,1620000000.00000000000000000000,2000-01-01 00:00:00.000,2051-05-03 00:00:00.000,26566.27592672567334375344,0.01025488502942380024,0.40714688285139172264,-2.23538566691444451351,-128.07816429823446924274,0.79552790856579258527,45.58039164568917556153,-0.36996191474190942561,-21.19725629529020238806,0.00014580515176052319,-0.00000001293116080591,0.00000003983210643174
2451544.50000000000000000000,1622592000.00000000000000000000,2000-01-01 00:00:00.000,2051-06-02 00:00:00.000,26565.57860423703095875680,0.01019726956224670071,0.40667628222903901003,-2.26951616009472756375,-130.03369751016475674987,0.86344505372439095403,49.47175741985422092739,0.58890458756806773888,33.74174740354268919873,0.00014581089267887482,-0.00000001293488202030,0.00000003980031686447
2451544.50000000000000000000,1625184000.00000000000000000000,2000-01-01 00:00:00.000,2051-07-02 00:00:00.000,26566.15516514917908352800,0.01012974630386210065,0.40619370122410247692,-2.30409505342382914250,-132.01492215815534336798,0.93019155143110920925,53.29605003572881116725,1.55016474121531966368,88.81789722162727684918,0.00014580614593976486,-0.00000001293659984135,0.00000003976123923396
2451544.50000000000000000000,1627776000.00000000000000000000,2000-01-01 00:00:00.000,2051-08-01 00:00:00.000,26566.24600030765577685088,0.01002450915409200047,0.40583364906582991560,-2.33903599857470512191,-134.01689084749864377955,0.99042066494439795488,56.74692404385460520189,2.51930593024598126206,144.34559710537450882839,0.00014580539813107641,-0.00000001293840042560,0.00000003973392719456
